field,title,youtube link,text,paper
1,Visibility-driven PET-CT Visualization Optimization,k6xm-arlEg4,,
1,Feature of interest-based direct volume rendering using contextual saliency-driven ray profile analysis,5rztOfkdAUI,,
1,Mixed Reality-integrated Computer-aided Surgical Navigation System for Paranasal,ZBT8KPB8Lfo,,
1,Mixed Reality based interactive object sharing,NtIUaC2wQUg,,
1,Codeless Content Creator System demo (SIGGRAPH Asia 2022 poster),hPORPrW5qts,,
1,CGI 2023 Presentation _ Suhyeon,7m0RWtyXp7w,,
1,CGI 2023 Presentation _ Hail,9ysam_Xye6E,,
1,Real-Time Transfer Function Editor for DVR in Mixed Reality demo (SIGGRAPH Asia 2024 poster) _ Junseo,rd6W3-XqPmE,,
1,Instinctual-TF: Feel Free to Manipulate Transfer Function In Mixed Reality Environments (ISMAR 2025 poster) _ Yejin,Wnmz_ZYc8vM,,
1,AAA-CDSS Patient Case No.1,BZjRCLzpOXQ,,
1,AAA-CDSS Patient Case No.2,K1XT2AbvCls,,
1,An intuitive and semi-automated TF design for interactive region of interest-based DVR in MR-HMD,J3XmuWrsZZI,,
